sale_id,customer_name,contact_info
S1001,Thomas Hernandez,thomas.hernandez381@gmail.com
S1002,Jennifer Gonzalez,jennifer.gonzalez492@gmail.com
S1003,Nancy Martin,nancy.martin677@gmail.com
S1004,Christopher Davis,christopher.davis479@gmail.com
S1005,David Wilson,david.wilson488@gmail.com
S1006,Joseph Jackson,joseph.jackson410@gmail.com
S1007,Patricia Williams,patricia.williams766@gmail.com
S1008,Susan Rodriguez,susan.rodriguez909@gmail.com
S1009,Sarah Jackson,sarah.jackson211@gmail.com
S1010,Patricia Jones,patricia.jones102@gmail.com
S1011,Lisa Davis,lisa.davis269@gmail.com
S1012,Robert Miller,robert.miller151@gmail.com
S1013,Sandra Gonzalez,sandra.gonzalez76@gmail.com
S1014,Daniel Martinez,daniel.martinez765@gmail.com
S1501,Sarah Anderson,sarah.anderson896@gmail.com
S1502,Michael Rodriguez,michael.rodriguez758@gmail.com
S1503,Patricia Taylor,patricia.taylor656@gmail.com
S1504,Thomas Brown,thomas.brown422@gmail.com
S1505,Robert Moore,robert.moore353@gmail.com
S1506,James Martinez,james.martinez816@gmail.com
S1507,Barbara Brown,barbara.brown115@gmail.com
S1508,Mary Smith,mary.smith943@gmail.com
S1509,James Wilson,james.wilson565@gmail.com
S1510,Lisa Smith,lisa.smith613@gmail.com
S1511,Charles Martin,charles.martin789@gmail.com
S1512,Christopher Davis,christopher.davis983@gmail.com
S1513,Robert Wilson,robert.wilson539@gmail.com
S1514,Daniel Lopez,daniel.lopez593@gmail.com
S1515,David Martin,david.martin756@gmail.com
S1516,William Anderson,william.anderson937@gmail.com
S1517,Margaret Rodriguez,margaret.rodriguez460@gmail.com
S1518,Margaret Moore,margaret.moore113@gmail.com
S1519,Linda Hernandez,linda.hernandez496@gmail.com
S1520,Richard Hernandez,richard.hernandez103@gmail.com
S1521,Daniel Smith,daniel.smith841@gmail.com
S1522,Patricia Johnson,patricia.johnson471@gmail.com
S1523,Linda Brown,linda.brown140@gmail.com
S1524,Thomas Wilson,thomas.wilson741@gmail.com
S1525,Matthew Martinez,matthew.martinez349@gmail.com
S1531,Joseph Davis,joseph.davis380@gmail.com
